nazwa;long;lat;ocena;ilosc_recenzji;adres
Bar Ma?;17.0369813;51.102249900000004;4.1;38.0;Ko??aja 27, 50-004 Wroc?w
Pizzeria Roma;17.037083199999998;51.1026344;3.9;151.0;Ko??aja 29, 50-007 Wroc?w
Dominos Pizza;17.0413164;51.10078920000001;4.0;109.0;Ko?iuszki 83, 11-400 Wroc?w
Bistro Ko?iuszki;17.0407853;51.1012331;3.6;7.0;Ko?iuszki 80, 50-441 Wroc?w
Folgujemy;17.0423236;51.1018845;4.6;186.0;Kniaziewicza 16, 11-400 Wroc?w
Bar Detes;17.0412071;51.102039000000005;4.3;47.0;Kniaziewicza 9, 50-001 Wroc?w
Bar Mleczny;17.0514169;51.1022369;4.4;49.0;Genera? Romualda Traugutta 81, 11-400 Wroc?w
Chi?? Wiatr;17.0535111;51.1009379;4.1;171.0;Genera? Romualda Traugutta 104, 50-001 Wroc?w
Gruby Benek;17.050621;51.0988531;3.2;213.0;147, Ko?iuszki, 11-400 Wroc?w
McDonalds;17.0562114;51.0957845;4.2;571.0;Krakowska 6/7, 50-001 Wroc?w
KempaFood SteakHouse;17.0744665;51.0829116;4.1;143.0;50-428, Krakowska 141, 50-001 Wroc?w
Pietro Pan Pizza;17.0814013;51.079277399999995;3.4;101.0;Opolska 33, 50-001 Wroc?w
Pizza Ciao Ciao Ksi? Ma?;17.085285199999998;51.074896;4.1;49.0;Tarnog??a 1, 52-021 Wroc?w
Kalimera;17.0393577;51.0837494;3.5;91.0;aleja Armii Krajowej 14c/1, 53-041 Wroc?w
McDonalds;17.0487676;51.082384999999995;4.1;1122.0;Bardzka 3, 50-516 Wroc?w
Karczma Katarzyna;17.120709100000003;51.030322600000005;4.5;188.0;G?wna 28, 55-010 ?i? Katarzyna
Karczma Pa?ik;17.0646966;51.031624900000004;4.4;162.0;Strzeli?? 8, 55-010 ?rniki Wroc?wskie
Restauracja Szopska;17.0122164;51.058282399999996;3.0;1.0;53-014, Zwyci?a 14e, 53-033 Wroc?w
Wo?wina;17.0239109;51.05661;4.1;113.0;Bart?mieja Strachowskiego 7a, 50-001 Wroc?w
Brylantowa 16 - Kuchnia Emocjonalna;17.0278698;51.048146;4.3;167.0;Brylantowa 16, 52-214 Wroc?w
Italian Restaurant;17.061475199999997;51.0510715;4.4;107.0;Antonia Vivaldiego 7, 52-129 Wroc?w
Pizzeria Pory Roku;17.0611802;51.0529835;3.8;146.0;Wagnera 18a, 52-129 Wroc?w
Pizzeria Pan Smak;17.0318663;51.062177;4.6;60.0;Grota-Roweckiego 75/79, 50-001 Wroc?w
Gerberowa 22;17.030072600000004;51.0567226;0.0;0.0;Gerberowa 22, 50-001 Wroc?w
Pub Ewa;17.0234234;51.0541759;4.5;21.0;Admira? J??a Unruga 57, 52-212 Wroc?w
Resstaurant LOT Kitchen;17.0260479;51.0535839;4.6;61.0;Walerego Goetla 11, 52-216 Wroc?w
